--Description：tag defined
--Date：2020-06-15
--Author：满意

序号	TAG	说明
1           SMOKE           冒烟测试
2           DATATYPE        数据类型
3	        EXTERNAL	    外部表
4	        DBLINK	        DBLINK
5       	PALLAS	        PALLAS存储测试
6	        2.3	            2.3版本功能用例，2.2默认无标签
7	        AI	            AI
8	        STREAM	        流
9	        JDBC	        JDBC
10	        TRANSACTION	    事务
11	        JOIN	        JOIN
12	        FUNCTION	    函数
13	        UDF         	UDF
14	        OPERATOR	    操作符
15	        VIEW	        视图
16	        PRIVILEGE	    权限
17	        CONSTRAINT  	约束
18	        SYSTABLE	    系统表
19	        PERFORMANCE	    性能
20          ORACLE          ORACLE DBLINK TEST
21          MYSQL           MYSQL DBLINK TEST
22          POSTGRESQL      POSTGRESQL DBLINK TEST
23          TERADATA        TERADATA DBLINK TEST
24          MSSQLSERVER     MSSQLSERVER DBLINK TEST
25          STORAGE         存储相关测试（包含HDFS，PALLAS,MEM等的集合）
26          HDFS            HDFS存储测试
27          PARTITION       分区
28          TPCH            TPCH
29          TPCDS           TPCDS
